,stato,citta,alt,lat,lon,superficie_media,produzione_media,superficie_std,produzione_std,temp_media,prec_media
67,jharkhand,garhwa,203.0,24.16002,83.80755,7850.240000000001,6989.0,2140.1344161757693,1255.4612698128126,25.42069892473118,1189.7333333333333
68,jharkhand,giridih,305.0,24.18622,86.30875,5340.783333333333,6062.666666666667,2821.662505905575,4512.463443988586,25.42069892473118,1189.7333333333333
69,jharkhand,godda,102.0,24.827,87.2125,7197.756666666667,11585.333333333334,5456.4507979118935,9726.634686947657,25.42069892473118,1189.7333333333333
70,jharkhand,gumla,650.0,23.04268,84.54429,1953.4533333333336,2557.0,1703.3349359809815,2400.3958006962102,25.42069892473118,1189.7333333333333
71,jharkhand,hazaribagh,621.0,23.99241,85.36162,4751.246666666667,7195.0,3420.0119195308857,4204.477613211896,25.42069892473118,1189.7333333333333
72,jharkhand,jamtara,199.0,23.963,86.80285,1540.1133333333335,2596.6666666666665,606.0663967201393,956.8136356330491,25.42069892473118,1189.7333333333333
73,jharkhand,latehar,388.0,23.74423,84.49984,2470.7733333333335,2139.0,2111.6082381524593,1826.9581275989879,25.42069892473118,1189.7333333333333
74,jharkhand,lohardaga,666.0,23.43305,84.67992,2972.4733333333334,5104.666666666667,1913.4184880818239,4059.7568071663277,25.42069892473118,1189.7333333333333
75,jharkhand,pakur,47.0,24.63925,87.84239,2077.78,2868.0,1111.1289838718096,1533.296774926498,25.42069892473118,1189.7333333333333
76,jharkhand,ranchi,643.0,23.34316,85.3094,2708.6966666666667,3288.3333333333335,564.0574612868207,2291.7932571096662,24.125,1189.7333333333333
77,jharkhand,simdega,443.0,22.61523,84.50208,715.3033333333333,1130.6666666666667,619.5504983722741,1121.4211222075912,25.42069892473118,1189.7333333333333
78,punjab,amritsar,244.0,31.62234,74.87534,187333.33333333334,821777.7777777778,2236.067977499792,80009.02726845544,23.083333333333332,532.725
79,punjab,barnala,237.0,30.37451,75.5487,114000.0,560750.0,925.8200997725523,33507.99478162957,25.42069892473118,532.725
80,punjab,bathinda,216.0,30.20747,74.93893,251000.0,1156111.111111111,3316.6247903554017,92343.7118114228,24.25,532.725
81,punjab,faridkot,207.0,30.67399,74.75579,116888.88888888889,546111.1111111111,600.9252125773326,47250.51440049209,25.42069892473118,532.725
82,punjab,fazilka,181.0,30.40207,74.02836,208333.33333333334,974666.6666666666,2516.6114784235865,63042.313832324806,25.42069892473118,532.725
83,punjab,hoshiarpur,311.0,31.53723,75.91269,149888.88888888888,599777.7777777778,4342.938073598461,65552.98959196632,25.42069892473118,532.725
84,punjab,jalandhar,243.0,31.32556,75.57917,168666.66666666666,758888.8888888889,2000.0000000000005,63591.36034958766,25.42069892473118,532.725
85,punjab,kapurthala,229.0,31.38011,75.38105,110111.11111111111,487555.55555555556,1054.0925533894601,41863.20314760659,25.42069892473118,532.725
86,punjab,ludhiana,256.0,30.91204,75.85379,256666.66666666666,1232000.0,2061.5528128088313,86191.64692706594,24.333333333333332,532.725
87,punjab,mansa,223.0,29.98844,75.40167,169111.11111111112,776888.8888888889,2147.349787787522,53348.956045185274,25.42069892473118,532.725
88,punjab,mansa,106.0,23.42564,72.65739,169111.11111111112,776888.8888888889,2147.349787787522,53348.956045185274,25.42069892473118,532.725
89,punjab,moga,226.0,30.81383,75.16878,169333.33333333334,847777.7777777778,19640.51934140236,74687.31113411732,25.42069892473118,532.725
90,punjab,muktsar,200.0,30.47426,74.5166,203888.88888888888,966444.4444444445,5325.515102890152,62002.24010290094,25.42069892473118,532.725
91,punjab,nawanshahr,264.0,31.1245,76.11613,74888.88888888889,334555.55555555556,2420.973174388994,39153.898628077615,25.42069892473118,532.725
92,punjab,nawanshahr,247.0,32.76505,74.52772,74888.88888888889,334555.55555555556,2420.973174388994,39153.898628077615,25.42069892473118,532.725
93,punjab,pathankot,337.0,32.27484,75.65287,42000.0,151666.66666666666,0.0,31895.663237081826,22.541666666666668,532.725
94,punjab,patiala,258.0,30.33625,76.3922,237000.0,1133000.0,4153.3119314590385,74419.4195086202,24.083333333333332,532.725
95,punjab,sangrur,241.0,30.24506,75.84488,297666.6666666667,1466000.0,36901.89697021008,147760.78640830252,25.42069892473118,532.725
96,punjab,tarn taran,227.0,31.45191,74.92777,184888.88888888888,829111.1111111111,1900.2923751652309,60283.58906958934,25.42069892473118,532.725
97,uttarakhand,almora,1600.0,29.59713,79.65911,39189.11111111111,40982.555555555555,2948.8538639802305,7588.451573132543,25.42069892473118,1381.8583333333333
98,uttarakhand,bageshwar,882.0,29.83738,79.77161,15044.0,19094.0,536.4662151524552,3734.5574369662604,25.42069892473118,1381.8583333333333
99,uttarakhand,champawat,1626.0,29.33501,80.07783,8343.555555555555,10246.222222222223,1381.2519783796793,1672.1401539477617,25.42069892473118,1381.8583333333333
100,uttarakhand,haridwar,295.0,29.94791,78.16025,44580.444444444445,118148.22222222222,2327.9392770812947,12508.031007894266,25.42069892473118,1381.8583333333333
101,uttarakhand,pithoragarh,1586.0,29.58349,80.20947,23645.333333333332,33341.333333333336,1215.1590430885988,4396.14063696784,25.42069892473118,1381.8583333333333
